Erklärung;B16;Diese Felder dienen als Auswahlfelder für den Switch. Sie können sinnvoll angepasst/ersetzt/ergänzt werden. ;10092543;
Input;O9;SAVE;14408690;
Input;Q9;LOAD;14408690;
Input;G17;100;14408690;
Input;G19;36.2;14408690;
Input;G20;5.8;14408690;
Input;G21;2.6;14408690;
Input;G22;20;14408690;
Input;I61;22;14408690;
Input;I62;26;14408690;
Input;I63;0.95;14408690;
Input;I64;15;14408690;
Input;I65;4.25;14408690;
Input;I66;4.25;14408690;
Input;I67;4.25;14408690;
Input;I68;4.25;14408690;
Input;I70;0.95;14408690;
Input;I71;0.95;14408690;
Input;I72;25;14408690;
Input;I73;23;14408690;
Input;I74;0.95;14408690;
Input;I75;50;14408690;
Input;I76;4.84;14408690;
Input;I77;4.84;14408690;
Input;I78;4.84;14408690;
Input;I79;4.84;14408690;
Input;I80;4.84;14408690;
Input;I97;60;14408690;
Input;I98;70;14408690;
Input;I99;0.6;14408690;
Input;I100;100;14408690;
Input;I101;1000;14408690;
Input;I102;15.9481061210499;14408690;
Input;I103;0.7;14408690;
Input;I104;3;14408690;
Input;I105;=I104;14408690;
Input;I106;=I105;14408690;
Input;I107;=I106;14408690;
Input;C52;Transmissionsleitwert gesamt (W/K);10092543;
Input;D83;1;10092543;
Input;D84;1;10092543;
Input;D85;1;10092543;
Input;D86;0;10092543;
Input;D87;-1;10092543;
Input;D88;-1;10092543;
Input;D89;-1;10092543;
Input;D90;-1;10092543;
Input;D91;0;10092543;
Input;D92;1;10092543;
Input;D93;1;10092543;
Input;D94;1;10092543;
Input;D95;1;10092543;
Input;B109;Hilfsstrom;10092543;
Input;B110;Hilfsstrom;10092543;
Input;M117;90;10092543;
Input;M118;0.9;10092543;
Input;M119;24000;10092543;
Input;M121;41000;10092543;
Input;M128;0.5;10092543;
Input;M129;0.9;10092543;
Input;M130;0.5;10092543;
Input;M131;0.17;10092543;
Input;M136;53;10092543;
Input;M137;4;10092543;
Input;M139;19.6588573624463;10092543;
Input;M141;0.9;10092543;
Input;M142;0.9;10092543;
Input;M157;0.34;10092543;
Input;G51;='PHPP Input'!AD72;49407;
Input;G53;='PHPP Input'!AF72;49407;
Input;G54;='PHPP Input'!AG72;49407;
Input;G55;='PHPP Input'!AH72;49407;
Input;G56;='PHPP Input'!AI72;49407;
Input;G63;='PHPP Input'!AR72;49407;
Input;G64;='PHPP Input'!C46;49407;
Input;G65;='PHPP Input'!AT72;49407;
Input;G66;='PHPP Input'!AT72;49407;
Input;G67;='PHPP Input'!AU72;49407;
Input;G68;='PHPP Input'!AW72;49407;
Input;G75;='PHPP Input'!C47;49407;
Input;G76;='PHPP Input'!BE72;49407;
Input;G101;='PHPP Input'!G47;49407;
Input;G102;='PHPP Input'!N46;49407;
Input;G110;='PHPP Input'!BX72;49407;
Input;G114;='PHPP Input'!B50;49407;
Input;M109;0.5;10092543;
Input;M110;0.1;10092543;
Input;M111;0.4;10092543;
Input;M112;20;10092543;
Input;M113;1;10092543;
Input;M114;0.742908985830072;49407;
Input;M115;0;10092543;
Input;G119;='PHPP Input'!CG72;49407;
Input;G136;='PHPP Input'!B3;49407;
Input;M165;0;49407;
Input;M166;0.7;49407;
Input;M167;0.7;49407;
Input;M168;0.7;49407;
Input;M169;0.7;49407;
Input;M170;0.7;49407;
Input;M171;0.288597270961328;49407;
Input;M172;0.264135367950592;49407;
Input;M173;0.349487964671022;49407;
Input;M174;0.365748261755877;49407;
Input;M175;0;49407;
Input;M176;1.01196945827309;49407;
Input;M177;1.11717710599643;49407;
Input;M178;0.651105155871;49407;
Input;M179;0.585477190603254;49407;
Input;M180;1;49407;
Input;O4;SAVE;10079487;
Input;O5;;49407;
Input;O6;;10092543;
Input;Q4;LOAD;10079487;
Input;Q5;;49407;
Input;Q6;;10092543;
Input;D8;24000;10079487;
Input;D9;2000;10079487;
Input;D10;1000;10079487;
Input;D11;1070.3658841834;10079487;
Input;D12;4281.46353673361;10079487;
Input;D14;0.05;10079487;
Input;D17;300;10079487;
Input;D19;;10079487;
Input;D20;;10079487;
Input;D21;;10079487;
Input;D22;;10079487;
Input;D24;14065.7177885964;10079487;
Input;D25;6028.16476654134;10079487;
Input;D26;9665.91784373255;10079487;
Input;D27;9370.7544;10079487;
Input;D50;PHPP Import;10079487;
Input;D61;;10079487;
Input;D62;;10079487;
Input;D64;;10079487;
Input;D65;;10079487;
Input;D66;;10079487;
Input;D67;;10079487;
Input;D68;;10079487;
Input;D70;;10079487;
Input;D71;;10079487;
Input;D72;;10079487;
Input;D73;;10079487;
Input;D74;;10079487;
Input;D77;;10079487;
Input;D78;;10079487;
Input;D79;;10079487;
Input;D80;;10079487;
Input;D97;;10079487;
Input;D98;;10079487;
Input;D99;;10079487;
Input;D100;;10079487;
Input;D103;;10079487;
Input;D104;;10079487;
Input;D105;;10079487;
Input;D106;;10079487;
Input;D107;;10079487;
Input;D109;;10079487;
Input;D110;;10079487;
Input;D111;;10079487;
Input;D112;;10079487;
Input;D113;;10079487;
Input;D114;;10079487;
Input;D115;;10079487;
Input;D116;;10079487;
Input;D117;;10079487;
Input;D118;;10079487;
Input;D119;;10079487;
Input;D121;;10079487;
Input;D122;;10079487;
Input;D128;;10079487;
Input;D129;;10079487;
Input;D130;;10079487;
Input;D131;;10079487;
Input;D136;;10079487;
Input;D137;;10079487;
Input;D138;;10079487;
Input;D141;;10079487;
Input;D142;;10079487;
Input;D157;;10079487;
Input;D158;;10079487;
Input;D159;;10079487;
Input;D161;;10079487;
Input;D162;;10079487;
Input;D163;;10079487;
Input;D164;;10079487;
Input;D165;;10079487;
Input;D166;;10079487;
Input;D167;;10079487;
Input;D168;;10079487;
Input;D169;;10079487;
Input;D170;;10079487;
Input;D171;;10079487;
Input;D172;;10079487;
Input;D173;;10079487;
Input;D174;;10079487;
Input;D175;;10079487;
Input;D176;;10079487;
Input;D177;;10079487;
Input;D178;;10079487;
Input;D179;;10079487;
Input;D180;;10079487;
PHPP Input;BF72;4.84;10092543;
PHPP Input;BG72;4.84;10092543;
PHPP Input;BH72;4.84;10092543;
PHPP Input;BI72;4.84;10092543;
PHPP Input;BO72;10000;10092543;
PHPP Input;BP72;10;10092543;
PHPP Input;BR72;2;10092543;
PHPP Input;BS72;2;10092543;
PHPP Input;BT72;2;10092543;
PHPP Input;BU72;2;10092543;
PHPP Input;BX72;0.1;10092543;
