Wind AT 2013,Wind AT 2015,Wind AT 2016,Wind 2030 TU EEG Stromzukunft,WEB 2015 Umgebung Wien,Hochrechnung berschuss 2050,Wind AT 2017,Wind AT 2018,Wind AT 2019,Wind AT 2020
1006.0098,568.5138,1616.501,2.213179516,0.619293,0.3,1254.523,2093.448,2239,578
1058.3038,1080.774,1706.03,2.099346351,2.403051,3.6,1419.209,2156.777,2286,623
1022.057,1424.1613,1785.3793,2.329201791,3.208098,5.7,1879.572,1765.252,2276,649
975.303,1639.042,1842.3483,2.276663404,4.025442,7,2061.438,1665.598,2344,674
1028.3238,1671.7838,1759.9858,2.182532132,4.401297,7.2,2098.237,1706.118,2404,716
1008.947,1666.5648,1732.5105,1.965811283,4.483302,6.8,2022.357,1509.568,2343,833
1049.1688,1731.863,1609.2883,1.71625395,4.439901,6.9,2030.584,1453.608,2444,1015
1065.0985,1849.3678,1497.0873,2.040240663,4.580472,7.6,2219.432,1478.682,2251,1200
1069.857,1920.8213,1525.4715,2.357660085,4.431765,8.4,2364.857,931.708,2029,1174
1043.4545,1944.8253,1429.0003,1.974567684,4.580628,8.7,2315.122,860.604,1833,959
1072.6255,1913.552,1332.7095,1.823519824,4.560714,9.1,2225.137,926.906,1655,906
1076.7745,1909.645,1246.362,2.024916971,4.517622,9.2,2369.613,700.17,1436,1386
1082.4663,1885.5408,1107.311,2.346714584,4.288281,8.8,2429.446,450.059,1233,1608
1026.9833,1839.1168,960.4978,2.24163781,4.303254,8,2464.817,447.717,920,1748
1036.5143,1824.7468,789.5873,2.799858165,4.292418,7,2455.816,451.058,619,2113
995.8983,1812.6808,553.839,2.583137325,3.111537,6.6,2433.208,693.492,736,2459
912.834,1802.0705,386.2265,2.136561036,3.346479,6.7,2442.576,873.386,973,2825
845.7188,1776.9998,293.1425,2.110291843,2.269755,6.8,2432.021,784.587,1237,2949
908.252,1673.59,256.9228,2.432089465,2.878587,6.3,2423.817,607.463,1331,2969
1061.577,1560.7495,235.2498,3.224543452,3.183288,6,2356.558,709.769,1582,2951
