"Dach OW (320 kWp, 60%PV/Roof area)","Fassade SO/SW (209 kWp, 22% PV/ ref Area)",Dach+Fass,Var4,Var5
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
2.025,0.75,2.775,14.16951314,31.37404928
3.815,1.418,5.233,171.1089857,13.69586009
7.852,2.93,10.782,296.1060254,112.0262331
9.515,3.553,13.068,364.2319078,236.491324
10.914,4.079,14.993,361.5503029,211.0525117
80.608,72.234,152.842,345.1801248,254.5047138
66.144,78.34,144.484,316.5350458,180.7605775
35.346,43.713,79.059,163.9641117,82.53586556
0,0,0,5.71298447,0.659470784
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
9.032,4.4,13.432,13.19670265,30.19720363
18.35,6.876,25.226,118.9707155,84.3466776
38.205,20.197,58.402,226.4498793,121.9182948
53.247,34.464,87.711,287.0738261,267.9418864
67.457,60.137,127.594,364.6181172,266.2294485
68.825,63.079,131.904,321.3189416,235.3654871
70.179,74.126,144.305,230.3593387,177.3247711
42.061,53.756,95.817,123.820194,80.05829576
0.17,0.062,0.232,1.205993533,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
4.961,1.846,6.807,18.77487817,2.364621761
5.23,1.946,7.176,164.0551988,5.895158719
20.873,7.826,28.699,302.2161497,282.8473835
30.896,11.612,42.508,404.0697727,377.8476112
37.717,15.166,52.883,461.174113,411.9214829
45.037,24.503,69.54,440.8835451,382.2489411
33.996,21.281,55.277,385.8487043,286.1010156
6.324,2.356,8.68,210.3383887,147.6595163
0,0,0,5.851436899,0.681331694
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0.681331694
9.758,6.308,16.066,17.82392859,31.76754566
29.607,17.209,46.816,168.8063032,118.1655053
47.251,27.084,74.335,296.2918431,196.9558683
56.036,31.736,87.772,378.507082,93.87439085
60.227,37.854,98.081,421.740675,26.15293528
49.412,28.19,77.602,425.8541695,111.5853714
33.318,18.613,51.931,323.9276768,178.5890604
12.548,6.958,19.506,176.2827344,122.6142005
0,0,0,5.72755841,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
11.02,15.369,26.389,3.428519379,11.78303047
36.698,51.878,88.576,33.74231452,32.6310516
77.534,81.847,159.381,58.02978549,55.66880721
58.288,41.95,100.238,76.22534955,5.002504896
6.749,2.516,9.265,91.70651728,54.49560505
27.029,10.152,37.181,80.99102792,45.63100606
20.21,7.577,27.787,79.02354602,28.29530446
1.536,0.568,2.104,43.80562008,10.76285467
0,0,0,3.417588924,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0.176,0.064,0.24,0,0
10.349,5.633,15.982,9.156077788,11.02518559
37.08,36.142,73.222,107.6066858,32.20476386
36.448,17.405,53.853,183.1106253,48.92107301
51.482,27.216,78.698,255.3900806,56.87480075
58.776,38.47,97.246,260.6075511,59.15926584
10.173,3.8,13.973,233.7659972,47.79159266
19.796,7.421,27.217,181.9775015,32.20476386
12.359,6.492,18.851,98.81131302,14.0565651
0.175,0.064,0.239,1.945620986,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
3.307,1.228,4.535,17.75834586,10.79564604
9.835,3.673,13.508,162.0112037,2.317256456
16.988,6.363,23.351,306.6247666,44.43958646
19.894,7.458,27.352,389.6379287,48.72432482
20.455,7.67,28.125,450.9213463,54.13854352
16.936,6.343,23.279,430.7145785,46.37792048
10.346,3.865,14.211,365.2557271,30.1789862
3.806,1.414,5.22,223.6771872,10.682698
0.173,0.063,0.236,8.937468689,0.666757754
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
3.026,1.123,4.149,21.97750148,12.71940611
8.103,3.024,11.127,180.2796375,35.71343991
12.867,4.812,17.679,327.1558045,49.91210092
16.877,6.322,23.199,420.8662386,61.02108667
17.155,6.426,23.581,484.0697727,61.02108667
